Anchorage,189,AK,Alaska VA HCS and Regional Office,0
Birmingham,473,AL,VAMC,58
Montgomery,2139,AL,Central Alabama Veterans HCS Tuskeegee Montgomery,64
Tuscaloosa,0,AL,VAMC,78
Fayetteville,1493,AR,VAMC,0
Little Rock,2010,AR,Central Arkansas Veterans HCSLittle Rock Little Rock N,62
Prescott,0,AZ,Northern Arizona VA HCS,0
Tucson,872,AZ,Southern Arizona VA HCS,49
Phoenix,1277,AZ,Carl T. Hayden VA Medical Center,53
Los Angeles,682,CA,VA Greater Los Angeles HCS (GLA),62
Fresno,616,CA,VA Central California HCS,67
Long Beach,882,CA,VA Long Beach HCS,72
Palo Alto,790,CA,VA Palo Alto HCSPaloAlto MenloPk Livermore,75
"Martinez, East Bay",701,CA,VA Northern California HCS Martinez Sacramento,78
Loma Linda,944,CA,VA Loma Linda HCS,79
San Francisco,520,CA,VAMC,79
San Diego,615,CA,VA San Diego HCS,84
Grand Junction,1077,CO,VAMC,0
Denver,377,CO,Eastern Colorado HCS Denver Pueblo,82
West Haven,444,CT,VA Connecticut HCS,48
Washington,559,DC,VAMC,71
Wilmington,368,DE,VAM&RO,78
Miami,654,FL,VAMC,62
Tampa,939,FL,James A. Haley VA Medical Center,69
Orlando,328,FL,East Central Florida HCS,70
West Palm Beach,775,FL,VAMC,74
Gainesville,934,FL,N FLA/S GA Veterans HS Gainesville Lake Cty,78
Bay Pines,850,FL,VAMC,79
Augusta,494,GA,VAMC,66
Dublin,2003,GA,Carl Vinson VA Medical Center,67
Atlanta,613,GA,VAMC,71
Honolulu,0,HI,VA Pacific Islands HCSSpark M. Matsunaga VA Medical & Regional Office Center,0
Des Moines,621,IA,VA Central Iowa HCS   DesMoines Knoxville,0
Iowa City,482,IA,VAMC,82
Boise,408,ID,VAMC,0
North Chicago,419,IL,VAMC,45
Hines,535,IL,Edward Hines Jr. VA Hospital,65
"Chicago, West Side",669,IL,VA Chicago HCS; (Jessie Brown),69
Marion,2705,IL,VAMC,71
Danville,359,IL,VA Illiana HCS,77
Indianapolis,783,IN,Richard L. Roudebush VA Medical Center,61
Marion,518,IN,VA Northern Indiana HCS Marion Ft Wayne,75
Wichita,2609,KS,Robert J. Dole Department of Veterans Affairs Medical and Regional Office Center,0
Topeka,2380,KS,VA Eastern Kansas HCS Topeka Leavenworth,77
Lexington,740,KY,VAMC,51
Louisville,792,KY,VAMC,70
Alexandria,1357,LA,VAMC,52
New Orleans,0,LA,VAMC,66
Shreveport,641,LA,Overton Brooks VA Medical Center,74
Bedford,0,MA,Edith Nourse Rogers Memorial Veterans Hospital,0
Northampton,0,MA,VAMC,0
West Roxbury,734,MA,VA Boston HCSW Roxbury Brockton Jamaica Plns,76
Baltimore,394,MD,VA Maryland HCSBaltimore Perry Pt,65
Togus,1013,ME,VAMC/RO,0
Iron Mountain,1077,MI,VAMC,0
Saginaw,1311,MI,Aleda E. Lutz VA Medical Center,0
Ann Arbor,590,MI,Ann Arbor VA Ann Arbor HCS,62
Detroit,587,MI,John D. Dingell VA Medical Center,63
Battle Creek,0,MI,VAMC,66
Minneapolis,555,MN,VAMC,0
St. Cloud,0,MN,VAMC,0
Columbia,392,MO,Harry S. Truman Memorial,0
Poplar Bluff,0,MO,John J. Pershing VA Medical Center,0
Kansas City,430,MO,VAMC,71
St. Louis,737,MO,St Louis VAMC St Louis Jefferson Barracks,74
Biloxi,2035,MS,VA Gulf Coast Veterans HCS,69
Jackson,866,MS,G.V. (Sonny) Montgomery VA Medical Center,69
Fort Harrison,415,MT,VA Montana HCS,0
Asheville,550,NC,VAMC,0
Durham,572,NC,VAMC,61
Fayetteville,2082,NC,VAMC,63
Salisbury,1740,NC,W.G. (Bill) Hefner VA Medical Center,63
Fargo,1020,ND,VAM/RO,0
Omaha,699,NE,VA Nebraska Western Iowa HCS  Omaha Grand Is Lincoln,0
Manchester,1454,NH,VAMC,0
East Orange,526,NJ,VA New Jersey HCS East Orange Campus,62
Albuquerque,544,NM,New Mexico HCS,77
Reno,591,NV,VA Sierra Nevada HCS,0
Las Vegas,628,NV,VA Southern Nevada HCS,78
Bath,0,NY,VAMC,0
Canandaigua,0,NY,VAMC,68
Syracuse,493,NY,VAMC,71
Bronx,401,NY,VAMC,72
New York Harbor,695,NY,VA NY Harbor HCSNY Harbor Brooklyn,72
Buffalo,577,NY,VA Western New York HCS Buffalo Batavia,75
Albany,479,NY,Samuel S. Stratton VAMC,79
Northport,790,NY,VAMC,81
Montrose,0,NY,VA Hudson Valley HCS Montrose Castle Pt,87
Chillicothe,0,OH,VAMC,0
Cleveland,650,OH,Louis Stokes VA Medical CenterCleveland Brecksville,64
Dayton,516,OH,VAMC,64
Columbus,416,OH,Chalmers Wylie Outpatient Clinic íîíŸ‘©íîíŸ‘©íîíŸ‘©íîíŸ‘©íîíŸ‘©íîíŸ‘©,77
Cincinnati,812,OH,VAMC,82
Muskogee,386,OK,VAMC,68
Oklahoma City,673,OK,VAMC,68
Portland,1140,OR,VAMC,0
Roseburg,364,OR,VA Roseburg HCS,0
White City,0,OR,Southern Oregon Rehab Ctr & Clinics,0
Altoona,642,PA,James E. Van Zandt VA Medical Center,0
Butler,0,PA,VAMC,0
Erie,883,PA,VAMC,0
Wilkes-Barre,765,PA,VAMC,0
Pittsburgh,666,PA,VA Pittsburgh HCSHeinz Univ Dr Highld Dr,60
Philadelphia,411,PA,VAMC,63
Coatesville,0,PA,VAMC,68
Lebanon,1938,PA,VAMC,71
San Juan,1588,PR,VAMC,71
Providence,552,RI,VAMC,72
Columbia,384,SC,Wm. Jennings Bryan Dorn VAMC,63
Charleston,381,SC,Ralph H. Johnson VAMC,77
Fort Meade,868,SD,VA Black Hills HCSFt Meade Hot Springs,0
Sioux Falls,1114,SD,VAM/ROC,0
Mountain Home,2192,TN,VAMC,0
Memphis,615,TN,VAMC,58
Nashville,750,TN,Tennessee Valley HCSNashville Murfreesboro,68
El Paso,1160,TX,El Paso VA HCS,0
Amarillo,670,TX,Amarillo VA HCS,46
Dallas,1187,TX,VA North Texas HCS,55
Temple,581,TX,Central Texas Veterans HCSTemple Waco Marlin,63
Houston,1086,TX,VAMC,66
San Antonio,814,TX,South Texas Veterans HCS  SanAntonio Kerrville,71
Big Spring,59,TX,West Texas VA HCS,73
Salt Lake City,512,UT,VA Salt Lake City HCS,0
Hampton,483,VA,VAMC,55
Richmond,618,VA,Hunter Holmes McGuire VAMC,60
Salem,1173,VA,VAMC,66
White River Junction,366,VT,VAM/ROC,0
Spokane,463,WA,VAMC,0
Walla Walla,0,WA,Jonathan M. Wainwright Memorial VA Medical Center,0
Seattle,595,WA,VA Puget Sound HCSíîíŸ‘©  Seattle American Lake,67
Madison,393,WI,William S. Middleton Memorial Veterans Hospital,0
Tomah,0,WI,VAMC,0
Milwaukee,471,WI,Clement J. Zablocki VAMC,74
Beckley,1074,WV,VAMC,0
Clarksburg,1475,WV,Louis A. Johnson VAMC,0
Huntington,697,WV,VAMC,0
Martinsburg,2536,WV,VAMC,88
Cheyenne,368,WY,VAM/ROC,0
Sheridan,0,WY,VAMC,0
